Country Name,Country Code,Series Name,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,12.891,6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.417,1.002,1.774,2.219,3.315,3.803,4.019,2.088,-3.302,8.909,4.856,3.439
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1033.243,1126.683,1281.66,1425.124,1846.12,2373.581,2673.788,2972.744,3595.038,4370.54,4114.134,4094.35,4437.141,4247.631,4413.063,4578.633,3952.804,4124.055,4531.032,5287.661,5396.214,5343.038,6377.203,6810.114,8367.776
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,13.608,7.63,9.314,4.85,5.924,5.957,6.068,6.573,6.787,8.328,4.053,4.223,2.822,1.585,1.187,1.985,2.517,3.48,3.898,4.276,2.524,-2.745,9.923,6.139,4.634
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.389,0.05,3.108,7.771,0.484,2.28,2.367,2.371,2.933,3.321,2.267,3.626,3.429,2.032,1.938,1.626,1.896,1.275,1.987,2.028,1.411,1.621,2.041,6.725,
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,18.4,16.8,16.4,4.615,15.0,14.4,6.566,13.8,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,,,,
Albania,ALB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,67.403,63.312,69.906,73.009,79.39,80.395,76.344,74.017,75.375,83.269,82.114,,
Albania,ALB,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,0.544,,,,,,,0.621,0.629,,0.634,,,
Albania,ALB,Gini index,SI.POV.GINI,,,,31.7,,,30.6,,,30.0,,,,29.0,,34.6,32.8,33.7,33.1,30.1,30.1,29.4,,,
Algeria,DZA,GDP (current US$B),NY.GDP.MKTP.CD,48.641,54.79,59.413,61.516,73.482,91.914,107.047,123.084,142.483,180.384,150.317,177.785,218.332,227.144,229.701,238.943,187.494,180.764,189.881,194.554,193.46,164.873,186.265,225.56,239.899
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.2,3.8,3.0,5.4,6.5,4.5,5.4,2.9,3.1,2.5,1.2,4.8,3.0,2.4,2.6,4.1,3.2,3.9,1.5,1.4,0.9,-5.0,3.8,3.6,4.1
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1602.865,1780.376,1904.216,1945.192,2292.318,2827.227,3248.1,3681.291,4192.663,5217.992,4270.858,4958.259,5974.57,6096.09,6044.675,6164.645,4741.5,4481.082,4615.869,4640.314,4530.102,3794.41,4216.251,5023.253,5260.206
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.767,2.355,1.592,3.988,5.067,3.04,3.972,1.428,1.435,0.763,-0.601,2.87,1.063,0.429,0.602,2.06,1.157,1.849,-0.467,-0.512,-0.939,-6.632,2.093,1.927,2.495
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.646,0.339,4.226,1.418,4.269,3.962,1.382,2.311,3.679,4.859,5.737,3.911,4.524,8.891,3.254,2.917,4.784,6.398,5.591,4.27,1.952,2.415,7.226,9.266,9.322
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.207,11.206,10.202,12.0,,,,,,
Algeria,DZA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,0.531,,,,,,,0.523,0.532,,0.535,,,
Algeria,DZA,Gini index,SI.POV.GINI,,,,,,,,,,,,,27.6,,,,,,,,,,,,
American Samoa,ASM,GDP (current US$B),NY.GDP.MKTP.CD,,,,0.512,0.524,0.509,0.5,0.493,0.518,0.56,0.675,0.573,0.57,0.64,0.638,0.643,0.673,0.671,0.612,0.639,0.647,0.721,0.75,0.871,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,0.966,0.41,-0.408,-4.098,1.852,-2.657,-4.167,0.3,0.0,-4.335,-2.5,1.763,3.15,-1.679,-6.988,2.671,-0.488,4.412,-0.782,1.735,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,8800.729,9043.682,8832.819,8733.014,8673.927,9187.166,10019.502,12191.598,10446.863,10495.305,11920.061,12038.872,12313.997,13101.542,13300.825,12372.885,13195.936,13672.577,15609.777,16653.714,19673.39,
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,1.377,0.959,0.239,-3.395,2.672,-1.8,-3.258,1.245,0.992,-3.232,-1.22,3.279,4.854,0.114,-5.135,4.874,1.832,6.971,1.76,3.486,
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,5.05,,,,,9.98,,,,,9.2,,,,,,,,,,,,,
American Samoa,ASM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,GDP (current US$B),NY.GDP.MKTP.CD,1.24,1.433,1.548,1.764,2.367,2.9,3.161,3.459,3.958,4.102,3.689,3.45,3.629,3.189,3.194,3.272,2.79,2.897,3.0,3.218,3.155,2.891,3.325,3.381,3.728
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.099,3.528,8.119,4.546,8.694,8.136,5.398,4.809,1.553,-5.559,-5.303,-1.975,-0.008,-4.974,-3.548,2.504,1.434,3.71,0.346,1.589,2.016,-11.184,8.287,9.564,1.444
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,18891.099,21674.3,22829.045,24901.972,32025.949,37698.326,39599.68,43122.599,50629.738,53938.852,49950.933,48237.891,51428.197,44902.381,44747.754,45680.535,38885.53,39931.217,40632.232,42904.828,41328.6,37207.222,42066.491,42350.697,46544.721
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.355,2.836,5.373,0.077,4.197,3.882,1.578,4.293,4.22,-2.935,-2.478,1.223,1.341,-5.571,-4.026,2.141,1.257,2.575,-1.417,-0.004,0.238,-12.735,6.459,8.479,1.11
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP (current US$B),NY.GDP.MKTP.CD,6.153,9.13,8.936,15.286,17.813,23.552,36.971,52.381,65.266,88.539,70.307,83.799,111.79,128.053,132.339,135.967,90.496,52.762,73.69,79.451,70.898,48.502,66.505,104.4,84.723
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.181,3.055,4.206,13.666,2.99,10.95,15.03,11.55,14.01,11.17,0.86,4.398,3.472,8.542,4.955,4.823,0.944,-2.58,-0.147,-1.316,-0.702,-5.638,1.199,3.045,0.856
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,387.689,556.884,527.464,872.658,982.806,1254.696,1900.724,2597.964,3121.349,4081.718,3123.699,3586.664,4608.155,5083.827,5061.349,5011.984,3217.339,1809.709,2439.374,2540.509,2191.348,1450.905,1927.474,2933.485,2309.522
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.063,-0.235,0.838,9.937,-0.466,7.127,11.01,7.614,9.935,7.163,-2.797,0.571,-0.345,4.538,1.106,1.031,-2.643,-6.012,-3.631,-4.677,-4.017,-8.672,-1.955,-0.097,-2.155
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,248.196,324.997,152.561,108.897,98.224,43.542,22.954,13.305,12.251,12.476,13.73,14.47,13.482,10.278,8.778,7.28,9.356,30.694,29.844,19.629,17.081,22.272,25.754,21.355,13.644
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,23.643,,,,,3.782,9.43,16.77,,,9.579,,,,,16.497,,15.799,,
Angola,AGO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,,,,,,,,0.361,0.36,,0.362,,,
Angola,AGO,Gini index,SI.POV.GINI,,51.9,,,,,,,,42.7,,,,,,,,,,51.3,,,,,
Antigua and Barbuda,ATG,GDP (current US$B),NY.GDP.MKTP.CD,0.836,0.901,0.878,0.898,0.948,1.026,1.144,1.304,1.487,1.558,1.386,1.298,1.281,1.327,1.325,1.379,1.438,1.49,1.531,1.662,1.725,1.411,1.601,1.868,2.033
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.708,6.203,-4.548,1.027,6.077,5.767,6.474,12.708,9.315,-0.014,-11.963,-7.84,-1.959,3.373,-0.601,2.211,1.445,4.1,2.463,6.953,3.1,-18.88,8.192,9.516,3.862
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,11318.118,11998.559,11513.676,11632.734,12141.602,12999.347,14319.884,16114.076,18134.266,18708.973,16401.027,15149.724,14774.032,15136.841,14977.072,15451.495,15985.541,16449.059,16803.87,18133.823,18730.005,15224.859,17178.544,19919.727,21560.215
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.953,4.457,-6.001,-0.255,4.881,4.606,5.237,11.279,7.821,-1.497,-13.299,-9.089,-3.128,2.259,-1.525,1.365,0.65,3.384,1.839,6.361,2.551,-19.359,7.548,8.881,3.273
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.121,0.772,1.403,2.408,1.994,2.03,2.099,1.788,1.416,5.334,-0.55,3.37,3.457,3.377,1.059,1.089,0.969,-0.489,2.432,1.207,1.431,0.626,2.063,7.531,5.067
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,8.42,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,,,,,,,,,0.578,,0.596,,,
Antigua and Barbuda,ATG,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,GDP (current US$B),NY.GDP.MKTP.CD,283.523,284.204,268.697,97.724,127.587,164.658,198.737,232.557,287.531,361.558,332.976,423.627,530.158,545.982,552.025,526.32,594.749,557.532,643.628,524.82,447.755,385.741,487.903,631.133,640.591
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.385,-0.789,-4.409,-10.894,8.837,9.03,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.08,2.819,-2.617,-2.001,-9.9,10.718,4.956,-1.551
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,7735.322,7666.518,7168.976,2579.489,3333.153,4258.16,5086.628,5890.978,7210.596,8977.507,8184.39,10385.964,12848.739,13082.664,13080.255,12334.798,13789.06,12790.264,14613.036,11795.163,9963.674,8500.838,10650.86,13650.605,13730.515
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.492,-1.907,-5.454,-11.846,7.719,7.928,7.732,6.935,7.916,3.03,-6.868,9.844,4.789,-2.145,1.266,-3.579,1.63,-3.11,1.758,-3.602,-2.97,-10.77,9.674,3.989,-2.436
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,14.05,15.0,17.32,19.59,15.36,13.522,11.506,10.078,8.47,7.837,8.645,7.714,7.18,7.217,7.1,7.268,,,8.347,9.221,9.843,11.461,8.736,6.805,6.139
Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,0.589,,,,,,,0.611,0.617,,0.602,,,
Argentina,ARG,Gini index,SI.POV.GINI,49.8,51.0,53.3,53.8,51.0,48.5,47.8,46.4,46.3,45.0,43.8,43.7,42.7,41.4,41.1,41.8,,42.3,41.4,41.7,43.3,42.7,42.4,40.7,
Armenia,ARM,GDP (current US$B),NY.GDP.MKTP.CD,1.845,1.912,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.527,12.458,13.619,12.642,13.879,19.513,24.212
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.3,5.9,9.6,13.2,14.0,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.7,7.2,3.3,3.6,3.2,0.2,7.5,5.2,7.6,-7.2,5.8,12.6,8.7
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,575.628,603.298,676.15,765.316,910.171,1166.638,1608.163,2109.526,3064.28,3908.949,2917.366,3143.029,3462.682,3643.715,3833.157,4017.23,3666.142,3679.952,4041.995,4391.923,4828.505,4505.868,4972.783,7018.052,8715.765
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.412,7.154,10.838,14.224,14.774,11.162,14.591,13.976,14.536,7.651,-13.546,2.824,5.319,7.735,3.764,4.011,3.606,0.646,8.024,5.77,8.209,-6.704,6.355,13.025,8.798
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.648,-0.791,3.146,1.06,4.722,6.961,0.639,2.892,4.407,8.95,3.407,8.176,7.65,2.558,5.79,2.981,3.732,-1.404,0.97,2.52,1.443,1.211,7.185,8.641,1.98
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.2,,,,,,,,10.394,22.974,19.295,19.523,18.884,17.511,16.576,17.499,18.261,17.617,17.705,10.589,9.794,8.055,8.418,,
Armenia,ARM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,50.028,63.401,60.08,46.552,
Armenia,ARM,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,,,,,,,,0.572,0.582,,0.579,,,
Armenia,ARM,Gini index,SI.POV.GINI,36.2,,35.4,34.8,33.0,37.5,36.0,29.7,31.2,29.2,28.0,30.0,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,30.0,25.1,27.9,27.9,
Aruba,ABW,GDP (current US$B),NY.GDP.MKTP.CD,1.723,1.873,1.896,1.962,2.044,2.255,2.36,2.47,2.678,2.843,2.554,2.454,2.638,2.615,2.728,2.791,2.963,2.984,3.092,3.276,3.396,2.559,3.103,3.545,
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.238,7.623,4.182,-0.945,1.111,7.294,-0.383,1.127,3.09,1.836,-11.678,-2.733,3.369,-1.041,6.431,-1.587,-0.624,1.72,7.049,2.382,-2.303,-23.983,27.639,10.458,
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,19833.827,21026.167,20911.193,21375.269,22050.59,24105.524,24978.222,25832.926,27665.299,29011.639,25740.77,24452.589,26043.156,25611.176,26514.869,26940.264,28419.265,28449.713,29329.082,30918.484,31902.81,24008.128,29127.759,33300.839,
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.69,4.925,2.355,-2.121,0.107,6.331,-1.377,-0.06,1.832,0.579,-12.76,-3.828,2.403,-1.839,5.637,-2.265,-1.256,1.121,6.475,1.876,-2.743,-24.085,27.697,10.554,
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.28,4.044,2.884,3.315,3.656,2.529,3.398,3.608,5.393,8.956,-2.135,2.078,4.316,0.627,-2.372,0.421,0.475,-0.931,-1.028,3.626,4.257,,,,
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,6.92,6.9,,,,,,5.71,,,10.6,8.9,,,,,,,,,,,,
Aruba,ABW,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,GDP (current US$B),NY.GDP.MKTP.CD,389.652,416.168,379.629,395.789,467.739,614.66,695.693,748.418,855.007,1056.112,928.762,1148.89,1398.701,1547.65,1577.302,1468.598,1351.769,1207.581,1326.882,1429.734,1394.671,1330.382,1559.034,1692.957,1723.827
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.028,3.922,2.025,3.98,3.091,4.224,3.154,2.755,3.773,3.586,1.893,2.227,2.409,3.918,2.606,2.607,2.202,2.779,2.319,2.906,2.181,-0.335,2.112,4.269,3.017
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,20712.67,21870.416,19695.73,20301.843,23718.134,30836.731,34479.768,36595.707,41051.612,49701.282,42816.567,52147.024,62609.661,68078.044,68198.419,62558.244,56758.869,49918.794,53954.553,57273.52,55049.572,51868.248,60697.245,65077.677,64711.766
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.885,2.739,0.724,2.804,1.912,3.116,1.906,1.378,1.897,1.531,-0.186,0.649,0.996,2.12,0.855,1.088,0.741,1.186,0.647,1.378,0.682,-1.556,1.968,2.95,0.603
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.483,4.457,4.407,2.982,2.733,2.343,2.692,3.555,2.328,4.35,1.771,2.918,3.304,1.763,2.45,2.488,1.508,1.277,1.949,1.911,1.611,0.847,2.864,6.594,5.597
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.876,6.288,6.747,6.375,5.933,5.399,5.036,4.785,4.381,4.242,5.565,5.214,5.083,5.225,5.663,6.078,6.055,5.711,5.592,5.3,5.159,6.456,5.116,3.728,3.668
Australia,AUS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,31.066,29.523,27.693,25.884,25.074,22.861,22.406,21.439,20.096,18.181,23.869,28.662,30.093,39.439,37.556,41.713,46.466,54.644,53.264,54.43,60.142,69.219,69.908,57.975,
Australia,AUS,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,0.755,,,,,,,0.803,0.781,,0.77,,,
Australia,AUS,Gini index,SI.POV.GINI,,,33.5,,33.5,33.1,,,,35.4,,34.7,,,,34.4,,33.7,,34.3,,,,,
Austria,AUT,GDP (current US$B),NY.GDP.MKTP.CD,217.259,197.29,197.509,214.395,262.274,301.458,316.092,336.28,389.186,432.052,401.759,392.275,431.685,409.402,430.191,442.585,381.971,395.837,417.261,454.991,444.596,435.049,479.295,470.942,516.034
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.556,3.376,1.267,1.652,0.941,2.735,2.244,3.454,3.727,1.46,-3.765,1.837,2.923,0.68,0.026,0.661,1.015,1.989,2.259,2.425,1.451,-6.633,4.238,4.806,-0.829
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,27183.476,24625.601,24558.764,26527.593,32294.049,36889.234,38417.458,40669.327,46915.337,51919.984,48153.324,46903.762,51442.276,48564.917,50731.127,51786.377,44195.818,45307.588,47429.158,51466.557,50067.586,48789.498,53517.89,52084.681,56505.968
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.355,3.127,0.88,1.153,0.451,2.1,1.55,2.943,3.392,1.143,-4.016,1.593,2.576,0.222,-0.562,-0.122,-0.112,0.892,1.551,1.928,1.0,-7.02,3.785,3.809,-1.812
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.569,2.345,2.65,1.81,1.356,2.061,2.299,1.442,2.169,3.216,0.506,1.814,3.287,2.486,2.0,1.606,0.897,0.892,2.081,1.998,1.531,1.382,2.767,8.547,7.814
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.699,4.687,4.007,4.852,4.779,5.969,5.682,5.32,4.909,4.198,5.371,4.883,4.637,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264
Austria,AUT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,64.213,64.74,65.186,67.812,66.791,66.462,74.306,70.423,66.757,71.938,83.332,85.786,85.697,90.6,87.697,95.8,95.084,94.695,89.405,84.215,83.12,99.907,94.639,75.051,
Austria,AUT,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,,0.738,,,,,,,0.793,0.769,,0.747,,,
Austria,AUT,Gini index,SI.POV.GINI,29.7,29.0,,,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,30.2,29.8,30.7,,
Azerbaijan,AZE,GDP (current US$B),NY.GDP.MKTP.CD,4.581,5.273,5.708,6.236,7.276,8.68,13.245,20.982,33.049,48.851,44.292,52.909,65.953,69.68,74.161,75.24,53.076,37.867,40.867,47.112,48.174,42.693,54.825,78.807,72.356
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.4,11.1,9.9,9.439,10.208,9.254,27.962,34.5,25.0,10.759,9.296,5.049,0.1,2.165,5.81,2.751,1.094,-3.1,0.2,1.5,2.5,-4.3,5.616,4.715,1.124
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,573.894,655.097,703.671,763.109,883.693,1045.014,1578.367,2472.957,3851.33,5574.468,4950.399,5843.534,7189.819,7495.865,7875.345,7890.84,5500.504,3880.685,4147.198,4739.794,4805.754,4229.911,5408.045,7770.594,7155.084
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.462,10.191,9.052,8.625,9.376,8.302,26.66,33.03,23.591,8.457,7.051,3.806,-1.196,0.817,4.45,1.476,-0.103,-4.177,-0.778,0.624,1.636,-4.953,5.152,4.673,1.416
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-8.525,1.805,1.547,2.771,2.234,6.709,9.68,8.329,16.7,20.849,1.457,5.727,7.858,1.066,2.416,1.373,4.028,12.443,12.936,2.269,2.611,2.76,6.65,13.852,8.785
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,16.25,11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5.0,5.0,4.9,5.0,7.24,6.04,5.65,
Azerbaijan,AZE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,4.577,6.295,6.386,,,,,,,,,,22.255,16.868,,
